Name,Description,Latitude,Longitude,Category,Address,Website,Cuisine
JUNTO,"[Selected Restaurants] Cantonese, Contemporary | $$
Walnut wood furniture sits nicely against the blue-grey upholstery and subway tiles in this space with bustling street views. The Hong Kong chef's set menus, with optional add-ons, comprise dishes roo",25.0450877,121.5148534,Selected,"2F, The Blue by Just Inn, 22 Guanqian Road, Zhongzheng District, Taipei, Taiwan",https://www.juntorestaurant.com/,"Cantonese, Contemporary"
Sushi Kajin,"[1 Star] Sushi | $$$$
A Taiwanese cypress counter, Japanese lacquerware and warm lighting set the mood for a feast of edomae sushi made with the freshest catch flown in from Tokyo's Toyosu Market. With almost 30 years of e",25.0515312,121.5299594,Michelin 1 Star,"28 Jilin Road, Zhongshan District, Taipei, 104, Taiwan",https://www.sushi-kajin.com,Sushi
Tempura Sugimura,"[Selected Restaurants] Japanese Tempura | $$$$
An outpost of its namesake in Japan, this restaurant makes tempura the same way as its Japanese sibling. Its tempura boasts an ethereal batter made with extra fine cake flour imported from Japan. It i",25.080443,121.5591385,Selected,"2F, Marriott Midtown,199 Lequn 2nd Road, Zhongshan District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/tempura-sugimura,Japanese Tempura
Pale Jade Pavilion,"[Bib Gourmand] Taiwanese | $$
Nestled in a department store, the simple space makes an impression with turquoise walls and striking light fixtures. Since the 1960s, this family business has been serving traditional banquet dishes ",22.595419,120.3070929,Bib Gourmand,"6F, Dream Mall, 789 Zhonghua 5th Road, Cianjhen District, Kaohsiung, Taiwan",https://guide.michelin.com/en/kaohsiung-region/kaohsiung/restaurant/pale-jade-pavilion,Taiwanese
Anchovy,"[Selected Restaurants] European Contemporary | $$
This chef couple honed their skills in various establishments for over a decade, before returning to their hometown to start this new venture. They focus on fish, especially the local catch, fermented",22.6128948,120.3084631,Selected,"116 Linsen 3rd Road, Cianjhen Distrist, Kaohsiung, 806001, Taiwan",https://guide.michelin.com/en/kaohsiung-region/kaohsiung/restaurant/anchovy,European Contemporary
SHINEYU,"[Selected Restaurants] Cantonese | $$$$
This modernist mansion features a profusion of raw natural stone creating a stark contrast between sleek finishes and rugged surfaces. All the dining is in intimate private rooms only. The Hong Kong c",24.1571646,120.6386801,Selected,"88, Section 1, Huilai Road, Xitun District, Taichung, Taiwan",https://guide.michelin.com/en/taichung-region/taichung/restaurant/shineyu,Cantonese
Lin,"[Selected Restaurants] French Contemporary | $$$
Chef Lin, who has years of fine dining experience under his belt, chose to open his venture in a quiet alley to offer diners an intimate experience. His set menu delivers refined Gallic fare made with",25.0357325,121.5549234,Selected,"6, Alley 25, Lane 300, Section 4, Ren’ai Road, Da’an District, Taipei, 106, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/lin,French Contemporary
Ming Juan Lou,"[Selected Restaurants] Cantonese | $$$
Decorated with rattan screens and embroidery art, the interior drips understated luxury. The kitchen is helmed by an experienced chef whose CV boasts many years in upmarket hotels. His menu is pedigre",24.1524,120.66388,Selected,"2F, InterContinental Hotel, 77 Guanqian Road, West District, Taichung, 40353, Taiwan",https://mingjuanlou.taichungic.com,Cantonese
Yuu,"[Selected Restaurants] Creative | $$$$
A recent renovation has created more contrast and now sports a black counter against wooden panelling. With years of training in Japan, the head chef cooks mostly over an open flame, encompassing ecle",25.039543,121.55378,Selected,"15, Alley 33, Lane 216, Section 4, Zhongxiao East Road, Da'an District, Taipei, 106, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/yuu,Creative
AJIMI,"[Selected Restaurants] Japanese | $$$$
This offshoot of the Fukuoka brand sports a wood-rich space embodying Japanese minimalism. Counter seats allow diners to stay close to the action, while the tearoom with a sunken floor and tatami mats",25.0355894,121.5471048,Selected,"5, Alley 19, Lane 52, Siwei Road, Da’an, Taipei, Taiwan",https://www.ajimi.tw,Japanese
Motoichi,"[1 Star] Japanese Tempura | $$$$
This is the place for a high-end omakase-style experience with a curated selection of tempura. Cherry-picked seasonal ingredients are coated in a light, golden, crispy batter that seals in the flavour",25.039966,121.553788,Michelin 1 Star,"11, Alley 27, Lane 216, Section 4, Zhongxiao East Road, Da’an District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/motoichi,Japanese Tempura
Clavius,"[Bib Gourmand] Vegetarian | $$
Warm colours and asymmetrical curves lend the room a welcoming casual vibe, but it’s the picture windows overlooking a patio of lush greenery and a winding path that make a meal here a true respite fr",25.0597586,121.5531641,Bib Gourmand,"120 Fujin Street, Songshan District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/clavius,Vegetarian
Lien Wu Chiao Lamb Soup,"[Bib Gourmand] Small eats | $
Founded over 70 years ago, this eatery is justly proud of its famous lamb soup, which is simmered for at least four hours before the Chinese angelica is added for fragrance and invigorating effects. L",23.0342946,120.3082851,Bib Gourmand,"361, Jhongjheng Road, Xinhua District, Tainan, Taiwan",https://guide.michelin.com/en/tainan-region/tainan/restaurant/lien-wu-chiao-lamb-soup,Small eats
Bencotto,"[Selected Restaurants] Italian | $$$
With its lofty, airy room, this long-standing hotel restaurant is a favourite among locals craving traditional Italian fare. The Italian head chef, who honed his skills in various countries, adapts hi",25.055801,121.548349,Selected,"6F, Mandarin Oriental Hotel, 158 Dunhua North Road, Songshan District, Taipei, 105, Taiwan",https://www.mandarinoriental.com/en/taipei/songshan/dine/bencotto,Italian
Chuan Tai Hao Milkfish Ball,"[Selected Restaurants] Small eats | $
The owner worked in a milkfish ball shop for over 30 years before opening his own eatery in the 2010s. The stall sells soups with milkfish, fishballs and meatballs – customise the components to your l",22.9823995,120.2113436,Selected,"222, Section 1, Datong Road, West Central District, Tainan, Taiwan",https://guide.michelin.com/en/tainan-region/tainan/restaurant/chuan-tai-hao-milkfish-ball,Small eats
Chuan Ya,"[1 Star] Sichuan | $$$
The pristine room affords stunning views of the city and Taipei 101. The three set menus highlight the well-honed skills and boundless creativity of the kitchen team covering various styles of Sichuan",25.0350743,121.5672136,Michelin 1 Star,"46F, Breeze Nan Shan, 17 Songzhi Road, Xinyi District, Taipei, Taiwan",https://www.chuan-ya.com,Sichuan
aMaze,"[1 Star] Creative | $$$$
In contrast with the austere façade, the plush interior is adorned with warm wood and colourful art by local artists. Chef Jim Yang has been cooking Hangzhou and Jiangzhe fare for over 30 years. In hi",25.0813502,121.5519929,Michelin 1 Star,"598 Mingshui Road, Zhongshan District, Taipei, Taiwan",https://www.amaze598.com/,Creative
Kung Fu Shanghai Fish Ball,"[Bib Gourmand] Small eats | $
The push cart out front turns back the clock and the retro vibe is pursued indoors. For over 10 years, the owner-chef has been making fish balls, wontons and sauces from scratch. He orders his noodles",24.1519459,120.6602683,Bib Gourmand,"380 Zhongmei Street, West District, Taichung, Taiwan",https://guide.michelin.com/en/taichung-region/taichung/restaurant/kung-fu-shanghai-fish-ball,Small eats
Shoal Cuisine,"[Selected Restaurants] Taiwanese | $$
This place with a farm-to-table concept revamps its menu monthly to highlight the freshest produce from small local farms. Shelves filled with cookbooks and locally made condiments adorn the simple ro",24.161627,120.6779774,Selected,"417 Dehua Street, North District, Taichung, Taiwan",https://www.shoalcuisine.idv.tw,Taiwanese
Dongyin Fisherman,"[Selected Restaurants] Seafood | $$
A professional angler opened this joint over 10 years ago, naming it after his favourite fishing spot. It serves a menu similar to other stir-fry restaurants, but with an emphasis on line-caught fish ",24.1468092,120.6639354,Selected,"96-2, Section. 1, Xiangshang Road, West District, Taichung, Taiwan",https://guide.michelin.com/en/taichung-region/taichung/restaurant/dongyin-fisherman,Seafood
Kiku,"[Selected Restaurants] Japanese | $$$$
The chef, whose prolific Japanese cuisine career spans two decades, opened his first solo venture in 2023. The wood-clad space is inspired by Japanese traditions, but dotted with Taiwanese art. In the",25.0341491,121.553009,Selected,"4, Lane 135, Section 1, Anhe Road, Da'an District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/kiku-1216129,Japanese
Mayu Cocoon,"[Selected Restaurants] Creative | $$
Tucked away in a quiet alley, this place has a compact, Japanese-inspired space fitted with counter seats and brass pendant lamps. At dinner, all guests are required to order an izakaya-style nine-tap",22.9920139,120.1925626,Selected,"6, Lane 206, Section 2, Fucian Road, West Central District, Tainan, Taiwan",https://guide.michelin.com/en/tainan-region/tainan/restaurant/mayu-cocoon,Creative
Liang Liang Table,"[Selected Restaurants] European Contemporary | $$$
After a few years of critical acclaim and commercial success, the owner-chef couple moved to this three-storey terraced house with a warm-hued façade and pebble garden. The rotating menu showcases the",23.0047652,120.2013376,Selected,"63, Lane 85, Minde Road, North District, Tainan, Taiwan",https://guide.michelin.com/en/tainan-region/tainan/restaurant/liang-liang-table,European Contemporary
Kou Gyu Rou,"[Selected Restaurants] Noodles | $
The Japanese chef once owned a ramen shop. He open this joint to promote the beauty of Taiwanese beef noodles. His kombu beef bone broth is seasoned with sea salt and soy, not the herbs and aromatics ",25.0557262,121.5107843,Selected,"6 Minle Street, Datong District, Taipei, Taiwan",https://guide.michelin.com/en/taipei-region/taipei/restaurant/kou-gyu-rou,Noodles
